,product,level_1,level_2,target,,,
15381,JS-004B (ĐỒNG),Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Đồng hồ khác,,Chân váy,11
461,lưỡi gillette vector,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Dụng cụ cạo râu,,Gia vị dạng nước,11
2301,dao cạo râu IZUMI,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Dụng cụ cạo râu,,"Hạt, củ, quả khô",11
12561,Đai CB Pana FS80,Đồ gia dụng,Sửa chữa nhà cửa,Dụng cụ sửa chữa khác,,"Lược, băng đô, lô quấn tóc",11
13521,at lỉa 40A,Đồ gia dụng,Sửa chữa nhà cửa,Dụng cụ sửa chữa khác,,Miếng dán màn hình điện thoại,11
14121,Rơ le khởi động 1/4,Đồ gia dụng,Thiết bị chiếu sáng,Phụ kiện đèn,,Mặt nạ dưỡng da,11
14341,Piston động cơ dài ZL50C (133 mm),Đồ gia dụng,Sửa chữa nhà cửa,Dụng cụ sửa chữa khác,,Set quần áo Nam/Nữ,11
17581,Vít nhôm 4*20,Đồ gia dụng,Sửa chữa nhà cửa,"Đinh, vít, nở",,Sản phẩm khử mùi,11
19401,VIT LOP GO 4F RD,Đồ gia dụng,Sửa chữa nhà cửa,"Đinh, vít, nở",,Túi xách tay nữ,11
15721,BỘ CỌ MAKE UP BH,Sức khỏe - Làm đẹp,Trang điểm,Dụng cụ trang điểm,,Trang phục bé trai,13
16021,Cọ lót,Sức khỏe - Làm đẹp,Trang điểm,Dụng cụ trang điểm,,Trang điểm mắt,14
12221,Nước cả comfort cho da nhạy cảm,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,Trái cây tươi,14
13021,Nước Giặt Thái Lan Fineline Hồng 3600ml,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,"Jumpsuits, set đồ nữ",16
15461,nước tẩy rửa đa năng nhật 400ml wai,Đồ gia dụng,Đồ dùng nhà tắm,Dung dịch vệ sinh nhà tắm,,Gia vị dạng bột,17
15081,DDVS phụ nữ Kim Ngân Hoa 120ml,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Dung dịch vệ sinh nam nữ,,Giày búp bê,17
15801,Kem oil free kiehls - 50ml,Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng ẩm,,Gối và phụ kiện,17
15421,Dưỡng Thể Sợi Gai Dầu Và Cỏ Hương Bài,Sức khỏe - Làm đẹp,Chăm sóc cơ thể,Dưỡng Thể,,Kem tươi,17
7301,Kem trắng da bông cải,Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng trắng,,"Kem đóng gói, hộp",17
15961,kem sul ngày xanh full,Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng trắng,,Khay,17
16101,SỮA DƯỠNG TRẮNG DA KOSE 140ml,Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng trắng,,Quần jeans nam,17
16941,KEM ONE TODAY 3 IN 1,Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng trắng,,Quần lót nữ,17
901,BC NUOC AJI QUICK 150gr,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Trang phục bé gái,17
8841,Hạt Nêm Maggi Heo 400g,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,"Nước giặt, nước xả",18
9401,xay tieu TH,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Áo thun nữ,19
9601,Bột ngot Miwon 180g gói,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Trang điểm môi,21
11261,KNORRGVHCTHITKHO 28g/10 dây,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Ốp lưng điện thoại,21
11801,bột nêm cono,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Thực phẩm ăn liền,22
12021,Hạt nêm vị rong biển,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Giày dép Nam/Nữ,23
12901,Chiên xù đắt,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Kẹo,23
13001,bột chiên gà kfc,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Sữa nước,24
18201,Muối tôm TaniOne -200g,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,"Dầu gội, dầu xả",25
18861,Bột ớt Nong Woo 1kg,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng bột,,Điện thoại,27
9261,Tương ớt 5 lit,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng nước,,Bánh,36
9781,Tương Cà Chua 2L,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng nước,,Quần Nam/Nữ,63
10541,Xốt lẩu thái ngon Thuận Phát,Thực phẩm - Đồ uống,Gia vị,Gia vị dạng nước,,Đầm nữ,75
2641,boot da đen có dây size 39,Thời trang - Phụ kiện,Giày dép nữ,Giày boots nữ,,Áo Nam/Nữ,118
1881,39- Gìay Korea,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
2901,guốc chanel,Thời trang - Phụ kiện,Giày dép nữ,Giày cao gót,,,
2861,CG_bAimée&bAmor_DM_7CM_1066,Thời trang - Phụ kiện,Giày dép nữ,Giày cao gót,,,
6321,Sandal TEVA,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
6921,San dan 7F TL25,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
2941,Giày Nam 81845551-1-8.5,Thời trang - Phụ kiện,"Giày, dép nam",Giày dép nam khác,,,
3401,TN21- Giày Mặt Cười Đen,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
6981,GIÀY ULTRA BOOST 4.0 GHI SIZE 41,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
8181,Adidas pro xám gạch,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
1681,Giầy DIOR full chữ D đế trắng sz 36,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Giày dép Nam/Nữ,,,
2441,Giay nữ,Thời trang - Phụ kiện,Giày dép nữ,Giày dép nữ khác,,,
19341,Gối thú dài 50x110,Đồ gia dụng,Đồ dùng phòng ngủ,Gối và phụ kiện,,,
261,set váy nỉ,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
1701,"SKU: 3453659 - Bo kieu TE QLNT TKT80G-P 8-12 (BG QUẦN CARO ÁO IN TIM KATA 9-13, RI 5)",Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
2561,Set crop sơ mi váy caro đỏ,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
3161,Set lệch vai dài tay sexy,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
3701,Set ADD đen viền trắng ngang 14/,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
3941,HG8619 set áo 2 dây đen phối quần dập ly kem,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
7761,Đồ bộ quần dài áo tay ngắn Twins,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
8081,Set áo trắng+ quần caro,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
8501,Set áo thun đen + chân váy kẻ ô,Thời trang - Phụ kiện,Thời trang nữ,"Jumpsuits, set đồ nữ",,,
561,Kem Socola Hạnh nhân Delight,Thực phẩm - Đồ uống,Sữa - Sản phẩm từ sữa,"Kem đóng gói, hộp",,,
16381,Blueberry and cream,Thực phẩm - Đồ uống,Sữa - Sản phẩm từ sữa,Kem tươi,,,
16581,kem Ý - 2 viên,Thực phẩm - Đồ uống,Sữa - Sản phẩm từ sữa,Kem tươi,,,
12981,kem Penaten - intensiv,Sức khỏe - Làm đẹp,Chăm sóc da,Sản phẩm chăm sóc da khác,,,
15001,Serum dưỡng da Kiehl's Midnight Recovery Concentrate 30ml,Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng ẩm,,,
15101,Kem nua vang trang,Sức khỏe - Làm đẹp,Chăm sóc da,Dưỡng trắng,,,
15261,Mọc tóc serum 10ml,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,Sản phẩm chăm sóc tóc khác,,,
201,Kẹo Tommy socola,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
6221,Kẹo Play lọ vị táo,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
10141,kẹo bag,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
10161,"Kẹo Gum Không Đường Dưa Hấu 26,6g Trident",Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
10461,Kẹo tim Elvan Fondante 300gr xanh dương,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
11281,kẹo sô cô la sokiss 100g,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
11581,Keo sua  socolate 350g/bich,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
11781,KẸO DẺO NGỦ NGON,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
12761,Singum Hubba Bubba việt quất,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
12801,keo deo Skittles bich,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
12921,keo vuông 3.5kg,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
18741,Kẹo Lotte 157g 롯데)스카치캔디,Thực phẩm - Đồ uống,Bánh kẹo,Kẹo,,,
10281,Khăn Eross EM01,Đồ gia dụng,Đồ dùng nhà tắm,Khăn,,,
9581,Giấy đa năng xanh,Đồ gia dụng,Đồ dùng phòng ăn,Khăn giấy ăn,,,
16341,Khăn ướt/ Cold towel,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Khăn giấy ướt,,,
12821,giấy mamamy 100 tờ,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Khăn giấy ướt,,,
16961,Khẩu trang AnviLife,Thời trang - Phụ kiện,Phụ kiện nữ,"Váy chống nắng, khẩu trang",,,
12201,Khay 2715,Đồ gia dụng,Đồ dùng phòng ăn,Khay,,,
14921,XỊT THƠM BODY MILLE FLEURS L'EAU 100ml,Sức khỏe - Làm đẹp,Chăm sóc cơ thể,Sản phẩm khử mùi,,,
12861,Tẩy da chết Rosette xanh,Sức khỏe - Làm đẹp,Chăm sóc cơ thể,"Tẩy tế bào chết, massage",,,
15301,Srm Cetaphil Gentle Foaming Cleanser,Sức khỏe - Làm đẹp,Chăm sóc da,Làm sạch da mặt,,,
15541,SRM mango seed TFS 100ml,Sức khỏe - Làm đẹp,Chăm sóc da,Làm sạch da mặt,,,
13621,PIN OPPO A3S BLP673,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Linh kiện điện thoại,,,
13941,CẢM ỨNG SAMSUNG S7562,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Linh kiện điện thoại,,,
12661,Lọ Hoa Thuỷ Tinh Nhỏ,Đồ gia dụng,Trang trí nhà cửa,"Lọ, Bình hoa trang trí",,,
1781,hộp cặp tóc trẻ em 50,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Lược, băng đô, lô quấn tóc",,,
11141,Combo 4 dây buộc tóc,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Lược, băng đô, lô quấn tóc",,,
15641,Băng Đô Gabby - Vịt Má Hồng,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Lược, băng đô, lô quấn tóc",,,
19981,kẹp tóc tròn và tam giác,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Lược, băng đô, lô quấn tóc",,,
861,Ca cách nhiệt 1000ml,Đồ gia dụng,Đồ dùng phòng ăn,Ca đựng nước,,,
6721,Mặt dây chuyền đá vuông xanh lá,Thời trang - Phụ kiện,Trang sức nữ,"Dây chuyền, vòng cổ, mặt dây chuyền nữ",,,
12141,kính 935987,Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Mắt kính khác,,,
3901,MICHAEL KORS (S) MK5004-1016/6E(59CN),Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Mắt kính khác,,,
8441,mawtj nạ dưỡng các loại,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
11521,Mặt nạ sâm Amisilk,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
15401,Mặt nạ ngủ Laneige 15ml,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
16081,Mask diệp lục tảo xoắn,Sức khỏe - Làm đẹp,Chăm sóc da,Mặt nạ dưỡng da,,,
14201,tab T111,Điện thoại - Máy tính bảng,Máy tính bảng,Máy tính bảng,,,
10241,Cường Lực Full Màn SS Note 8 (Vàng),Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
13421,Kính oppo A7 / A5s,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
13541,MÀN ZIN BÓC MÁY IP6G TRẮNG,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
13741,Chống nhìn trộm Blueo IP6 trắng,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
14421,KÍNH HW T1.701 TRẮNG / SỈ 10 CÁI 18K,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
14841,kính oppo f5 5,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Miếng dán màn hình điện thoại,,,
17701,MK Inox 14 Ly Fao,Đồ gia dụng,Đồ dùng nhà tắm,"Móc treo, kẹp quần áo",,,
18241,Móc dán tường Đức Trí 17,Đồ gia dụng,Trang trí nhà cửa,"Móc treo, móc dán tường",,,
5841,Nhẫn nam mặt vuông đá nhỏ 100,Thời trang - Phụ kiện,Trang sức nam,Nhẫn nam,,,
15581,nước hoa hồng kose eau de cleaire ( nuoc than kose),Sức khỏe - Làm đẹp,Chăm sóc da,"Nước hoa hồng, toner",,,
15621,Toner Mamonde 250ml aqa peel,Sức khỏe - Làm đẹp,Chăm sóc da,"Nước hoa hồng, toner",,,
15701,NƯỚC HOA HỒNG GARNIER,Sức khỏe - Làm đẹp,Chăm sóc da,"Nước hoa hồng, toner",,,
8101,Nước hoa mini Bulgari,Sức khỏe - Làm đẹp,Nước hoa,Nước hoa nữ,,,
15341,Penhaligon`s The Bewitching Yasmine 75ml (hồ ly),Sức khỏe - Làm đẹp,Nước hoa,Nước hoa nữ,,,
9801,Nước rửa tay quế,Sức khỏe - Làm đẹp,Chăm sóc cơ thể,Nước rửa tay,,,
13221,Ốp lưng 6 JRis hoa,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13401,Ốp Silicone iPhone 6/6S Plus,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13721,Dán Carbon Oppo A3s mặt sau,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13821,Ốp nhựa viền mắt camera iPhone X,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14301,ỐP CÔ GÁI VIVO Y71,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14461,Ốp lưng Iphone hình lon Coca Cola cực chất - chất liệu tốt ( ip 7 / 8 Plus ),Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14481,lưng Samsung S8 plus xanh coban,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14501,OL VIỀN XI IP 7+,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14541,ốp baseus mỏng 6G,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14601,Ốp dẻo màu đan rổ samsung,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
14861,Ốp lưng Huawei Honor 10 dẻo trong - CAO CẤP - EO,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Ốp lưng điện thoại,,,
13761,Dây bagi ip,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Phụ kiện điện thoại khác,,,
14221,Cáp All Boot GSM,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Phụ kiện điện thoại khác,,,
14261,Cảm ứng Mobell Nova P3 (V2H),Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Phụ kiện điện thoại khác,,,
17481,Cảm ứng Nokia N520,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,Phụ kiện điện thoại khác,,,
121,GIẶT XẢ FRIENDLY 3.5L,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
9861,COMFORT Đậm đặc cho da nhạy cảm 10x20ml/30 dây,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
9881,Nước xả Comfort 1 lần xả ban mai 1l8,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,,
13641,Bếp ga đôi Livorno rẽ,Đồ gia dụng,Đồ dùng phòng bếp,"Bếp gas, bếp lò",,,
15181,Dép cao su đi trong nhà 1,Đồ gia dụng,Đồ dùng nhà tắm,"Quần áo, Dép nhà tắm",,,
1801,JEANS RÁCH CẮT LAI VỪA 26,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
2321,Qj trơn Gen k lai,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
4141,quần ngắn jean xanh đậm màu 01,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
6061,268 Quần Baggy Jean Kaki QC,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
7701,quần baggy 9188,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
3181,ÁO JEAN NAM AJA10,Thời trang - Phụ kiện,Thời trang nam,Áo khoác nam,,,
15521,MH - Quần Jean M35,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
2961,QUẦN JOGER 1906 XÁM,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
8221,EVISU JOGGER,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
13581,Quan legging,Thời trang - Phụ kiện,Thời trang nữ,Quần legging nữ,,,
1461,Q/đùi 917-1,Thời trang - Phụ kiện,Thời trang nam,Quần shorts nam,,,
3601,Quần sooc cotton Phan Nguyễn QSD.084-M/29,Thời trang - Phụ kiện,Thời trang nam,Quần shorts nam,,,
4561,Quần đùi xanh sọc vàng,Thời trang - Phụ kiện,Thời trang nam,Quần shorts nam,,,
4661,quần chục đùi cotton số 1,Thời trang - Phụ kiện,Thời trang nam,Quần shorts nam,,,
5921,QUẦN SHORT NAM XÁM TRẮNG QS50(HÀNG NHẬP),Thời trang - Phụ kiện,Thời trang nam,Quần shorts nam,,,
8201,Q.Short Caro,Thời trang - Phụ kiện,Thời trang nam,Quần shorts nam,,,
1241,SHORT LẬT LAI XANH NHẠT 6027 S,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
3101,QUẦN SỌT JEANS IN CHỮ 806,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
3221,Quần sooc giả váy vạt chéo,Thời trang - Phụ kiện,Thời trang nữ,Quần shorts nữ,,,
3541,Quần short zara,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,,
16061,Quần âu Lâm Hà 879,Thời trang - Phụ kiện,Thời trang nam,Quần tây nam,,,
4581,Quần ống sớ dáng lỡ,Thời trang - Phụ kiện,Thời trang nữ,"Quần thun, jogger nữ",,,
9541,táo hàn(thùng),Thực phẩm - Đồ uống,Thực phẩm tươi,Trái cây tươi,,,
9821,CẢO RÔTIN ( TẢI ) LICOTA,Thực phẩm - Đồ uống,Thực phẩm tươi,"Rau ăn củ, quả",,,
10041,CHERRY TƯƠI SZ 8.5,Thực phẩm - Đồ uống,Thực phẩm tươi,Trái cây tươi,,,
11661,Sầu riêng Riv 6 (sale -1),Thực phẩm - Đồ uống,Thực phẩm tươi,Trái cây tươi,,,
18801,Ớt Sừng Cay (Ớt Batri),Thực phẩm - Đồ uống,Thực phẩm tươi,"Rau ăn củ, quả",,,
19061,Táo Envy Mỹ size 113,Thực phẩm - Đồ uống,Thực phẩm tươi,Trái cây tươi,,,
12881,RAU ĂN LÁ 250gram,Thực phẩm - Đồ uống,Thực phẩm tươi,Rau ăn lá,,,
13121,Măng tươi dầm ớt 800g Tâm Đức,Thực phẩm - Đồ uống,Thực phẩm tươi,Rau ăn thân,,,
11001,SET RƯỢU 3 CHAI VIỆT QUỐC & SÂM NÚI HÀN QUỐC,Thực phẩm - Đồ uống,Đồ uống có cồn,Rượu mạnh,,,
15881,Sâm banh hoa quả trẻ em,Thực phẩm - Đồ uống,Đồ uống có cồn,Rượu vang,,,
16861,Rượu JINRO,Thực phẩm - Đồ uống,Đồ uống có cồn,Rượu mạnh,,,
18681,Rượu vang trắng Export 750ml - DALATBECO,Thực phẩm - Đồ uống,Đồ uống có cồn,Rượu vang,,,
13321,CÁP XẠC IP 6P ZIN 250,Điện thoại - Máy tính bảng,Phụ kiện điện thoại,"Sạc điện thoại, máy tính bảng",,,
